strategy,fast,slow,sharpe,maxdd,cagr,win_rate,profit_factor,trades,rsi_window,entry,exit,short_entry,short_exit,lookback,skip,top_n,gross_exposure
ma_crossover,50.0,150.0,0.3246391499061965,-5.458031903109256,1.352126987199941,0.4838709677419355,0.16777386214020878,31.0,,,,,,,,,
ma_crossover,20.0,200.0,0.05406007139940306,-1.2375577743692119,,0.4166666666666667,0.20568517726857713,24.0,,,,,,,,,
ma_crossover,50.0,200.0,0.03834004219575102,-2.260181668261424,,0.47368421052631576,0.2553347483084627,19.0,,,,,,,,,
ma_crossover,10.0,100.0,-0.1386206933470376,-19.25181207570727,-0.8173370783177684,0.42424242424242425,0.19568673036914247,33.0,,,,,,,,,
ma_crossover,20.0,100.0,-0.3315474049338657,-160.43924376217697,-0.4547009450640058,0.46938775510204084,0.3638952117871098,49.0,,,,,,,,,
ma_crossover,50.0,100.0,-0.34805620908734525,-2.586408449942411,-0.9212434490964433,0.46296296296296297,0.45073278128866734,54.0,,,,,,,,,
ma_crossover,10.0,150.0,-0.3913418961031897,-3.461352009400766,-0.818533388070861,0.36363636363636365,0.09614431251040122,33.0,,,,,,,,,
ma_crossover,10.0,200.0,-0.6599910109226742,-1.0082494998658478,-0.6419462870598942,0.4375,0.09427135247333723,32.0,,,,,,,,,
ma_crossover,20.0,150.0,-0.820658843615572,-1.265406357247194,,0.3488372093023256,0.13372793510906214,43.0,,,,,,,,,
rsi_mr,,,0.6290515185274272,-1.0129452525331422,-0.21280873608397732,0.5607843137254902,0.8875354373655358,255.0,14.0,30.0,60.0,80.0,55.0,,,,
rsi_mr,,,0.5454756882649751,-12.423694572563965,,0.5635179153094463,0.9715965909199329,307.0,14.0,20.0,60.0,75.0,50.0,,,,
rsi_mr,,,0.5084141480806276,-1.7927200556867176,-0.17911864325763893,0.5314685314685315,0.4627084673604928,143.0,14.0,30.0,70.0,70.0,55.0,,,,
rsi_mr,,,0.5083728625800753,-2.691139562405442,0.022672520962070175,0.5233918128654971,0.8968303260100549,342.0,14.0,30.0,60.0,70.0,50.0,,,,
rsi_mr,,,0.47646669688910886,-1.0230830721058253,-0.5206310212645373,0.48,0.5349619181532597,125.0,21.0,25.0,60.0,70.0,50.0,,,,
rsi_mr,,,0.467842563245306,-0.9657422829766297,0.00023867724801629464,0.5286885245901639,1.0003553589611258,244.0,21.0,20.0,60.0,70.0,55.0,,,,
rsi_mr,,,0.44702405369084003,-1.1088289753714176,-0.5636599162201503,0.5,0.1373427444796074,42.0,21.0,25.0,60.0,80.0,55.0,,,,
rsi_mr,,,0.4469922754073379,-1.1212070715037528,-0.5599147397499113,0.4634146341463415,0.11035106122398518,41.0,21.0,25.0,60.0,80.0,50.0,,,,
rsi_mr,,,0.4459779664537188,-0.9533624104045187,-0.012291525917695778,0.5101214574898786,0.9917722841284174,247.0,14.0,20.0,70.0,75.0,55.0,,,,
rsi_mr,,,0.4346620109679215,-1.0071363152972503,,0.5295698924731183,0.6596205004622746,372.0,14.0,25.0,60.0,70.0,55.0,,,,
rsi_mr,,,0.433713606395488,-0.9837584652994829,-0.11005111740508611,0.5391849529780565,0.9456757850966274,319.0,14.0,30.0,60.0,70.0,55.0,,,,
rsi_mr,,,0.40230293782068477,-0.9907158655288753,-0.2032125636449379,0.562992125984252,0.8898380027184232,254.0,14.0,30.0,60.0,80.0,50.0,,,,
