total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,portfolio,symbol,strategy,params
50.11280994643742,0.5441614002950059,32.693510269126335,33.33333333333333,1.5755091971921562,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F375EF590> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B4313D0> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B47AC10> of shape (31,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B47AA30> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B47A5B0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,ema_crossover,"{'fast_period': 12, 'slow_period': 50}"
75.20277624616297,0.7110016031199647,31.873050045550418,37.5,2.463118421377137,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F375ED790> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B4F5BD0> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B4E7690> of shape (17,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B4E74B0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B4E7030> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,ema_crossover,"{'fast_period': 12, 'slow_period': 100}"
53.75787426377393,0.5636432910162653,19.211678254334966,40.0,1.5756292304205928,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F39B9AD50> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B564650> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B578450> of shape (41,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B5781B0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B578270> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,ema_crossover,"{'fast_period': 15, 'slow_period': 20}"
35.67092903396903,0.4311158947945105,21.109108997683098,41.66666666666667,1.3881734513134822,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F39B9BAD0> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B5E1F50> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B5FCED0> of shape (37,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B5FCCF0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B5FC870> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,ema_crossover,"{'fast_period': 15, 'slow_period': 26}"
54.83144676021987,0.5769274762741928,33.56597566770388,31.818181818181817,1.727870742522252,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F375EF350> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B64B5D0> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B665950> of shape (23,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B665770> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B6652F0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,ema_crossover,"{'fast_period': 15, 'slow_period': 50}"
61.78335024807724,0.623192657581239,32.15695119820902,37.5,2.087291112263358,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F378C3DD0> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B6C8A50> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B6CE3D0> of shape (17,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B6CE1F0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B6CDD70> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,ema_crossover,"{'fast_period': 15, 'slow_period': 100}"
-125.41222714610282,0.1778172700480058,125.76767528808337,,,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F39A0A810> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F3B6EB1D0> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B743150> of shape (1,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B742E50> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B743090> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,vwap_breakout,{}
-70.85063131405818,-0.9850356516534923,76.51391449452444,34.81624758220503,0.6942061210564467,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F37E941D0> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F37F79650> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F37B7C090> of shape (518,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F37B8C450> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F37B7ED90> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,hull_trend,{'period': 9}
-82.02289326287672,-1.4491410633095207,83.40804365791293,31.9693094629156,0.5754623059158874,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F39A0BAD0> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F375985D0> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F37D6D4D0> of shape (392,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F37D6C5D0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F37D6CD50> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,hull_trend,{'period': 16}
-78.10426674820987,-1.2857891101775154,80.52905258536043,29.44606413994169,0.5689478728382092,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x0000020F39A09550> of shape (1559,)"",
    ""close"": ""<pandas.core.series.Series object at 0x0000020F39889150> of shape (1559,)"",
    ""order_records"": ""<numpy.ndarray object at 0x0000020F3B1FED90> of shape (344,)"",
    ""log_records"": ""<numpy.ndarray object at 0x0000020F3B1FE010> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x0000020F3B1FEB50> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,hull_trend,{'period': 21}
