symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK-B
JPM
V
MA
UNH
XOM
LLY
AVGO
HD
PG
COST
ABBV
KO
PEP
MRK
WMT
BAC
NFLX
CRM
CVX
ORCL
NKE
ADBE
CSCO
ACN
MCD
INTC
AMD
TMO
WFC
INTU
IBM
GE
DIS
AMAT
QCOM
TXN
CAT
GS
MS
BA
SPGI
BLK
