total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,portfolio,symbol,fast_period,slow_period,filters
103.08622467722124,0.6785232753246545,33.71725271441379,28.57142857142857,3.3238607233184387,8,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C98B350> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6CCD5850> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6CD2C990> of shape (8,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6CD2C5D0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6CD2CE70> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,8,100,True
90.6300260669784,0.6383126653730651,29.600148866809505,41.66666666666667,2.587857302567548,25,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C860050> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C8B1050> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6C8A4ED0> of shape (25,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6C8A4AB0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6C8A4E70> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,8,100,False
127.13910353239324,0.7609136392514935,33.71725271441378,20.0,2.81097149418873,6,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C860590> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C309750> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6C4AC570> of shape (6,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6C4AD290> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6C4ACA50> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,8,150,True
31.35174560767523,0.33222538848669925,41.792816674884115,20.689655172413794,1.1577630020020029,30,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C862690> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C2EAAD0> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6C6AA490> of shape (30,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6C6AB0F0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6C6AAF10> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,8,150,False
149.69646101794666,0.8470777128967978,33.71725271441379,50.0,8.375951235121954,3,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C862F90> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB68DA6CD0> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6C55F150> of shape (3,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6C55EEB0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6C55DAD0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,8,200,True
6.558416863770268,0.1621464152493142,39.74095193555566,17.391304347826086,0.8492675442040635,24,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C863A10> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C76ACD0> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6C3C4F90> of shape (24,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6C3C5710> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6C3C57D0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,8,200,False
151.37631931623275,0.8658628427722876,33.71725271441378,57.14285714285714,6.64417722320084,8,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C8607D0> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C71BDD0> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB68E63150> of shape (8,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB68EB4E70> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB68EB6CD0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,12,50,True
18.60693141835407,0.24776125352858366,32.69354733561666,33.33333333333333,1.2017197645678672,43,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C862810> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C4BFD50> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6BED7630> of shape (43,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6BED77B0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6BED48D0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,12,50,False
141.8579591181603,0.8340406969558727,33.71725271441379,57.14285714285714,5.926088856381878,8,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C863110> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C907BD0> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6BE81770> of shape (8,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6BE82DF0> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6BE812F0> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,12,100,True
90.53589352992631,0.6397676788921636,31.873075165837584,45.0,2.5551448746437497,21,"Portfolio(**Config({
    ""wrapper"": ""<vectorbt.base.array_wrapper.ArrayWrapper object at 0x000001DB6C8634D0> of shape (2062,)"",
    ""close"": ""<pandas.core.series.Series object at 0x000001DB6C5935D0> of shape (2062,)"",
    ""order_records"": ""<numpy.ndarray object at 0x000001DB6BDE4A50> of shape (21,)"",
    ""log_records"": ""<numpy.ndarray object at 0x000001DB6BDE4F90> of shape (0,)"",
    ""init_cash"": ""<numpy.ndarray object at 0x000001DB6BDE5830> of shape (1,)"",
    ""cash_sharing"": false,
    ""call_seq"": null,
    ""fillna_close"": null,
    ""trades_type"": null
}))",SPY,12,100,False
